,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1iQKKup2m3I,16,0,5,369.0,106.0,618.0,379.0,5,0.727929413318634
1,1iQKKup2m3I,16,0,6,274.0,178.0,567.0,514.0,7,0.7471150159835815
2,1iQKKup2m3I,16,0,6,270.0,184.0,554.0,505.0,5,0.44561049342155457
3,1iQKKup2m3I,16,0,7,252.0,95.0,569.0,495.0,7,0.7522944211959839
4,1iQKKup2m3I,16,0,8,218.0,53.0,583.0,518.0,7,0.736415445804596
5,1iQKKup2m3I,16,0,9,185.0,43.0,599.0,558.0,7,0.6357898712158203
6,1iQKKup2m3I,16,0,10,212.0,0.0,634.0,516.0,7,0.6556851863861084
7,1iQKKup2m3I,16,0,10,943.0,328.0,1130.0,562.0,13,0.4902190864086151
8,1iQKKup2m3I,16,0,11,561.0,275.0,633.0,498.0,0,0.7145398259162903
9,1iQKKup2m3I,16,0,11,168.0,13.0,591.0,589.0,7,0.5511338710784912
10,1iQKKup2m3I,16,0,12,158.0,24.0,631.0,585.0,7,0.6757369637489319
11,1iQKKup2m3I,16,0,13,174.0,11.0,610.0,571.0,7,0.5031511783599854
12,1iQKKup2m3I,16,0,14,194.0,11.0,627.0,583.0,7,0.6887619495391846
13,1iQKKup2m3I,16,0,14,0.0,583.0,337.0,712.0,2,0.4529891014099121
14,1iQKKup2m3I,16,0,15,193.0,17.0,624.0,586.0,7,0.5174722075462341
15,1iQKKup2m3I,16,0,15,193.0,17.0,624.0,586.0,5,0.44572949409484863
16,1iQKKup2m3I,16,0,16,189.0,20.0,621.0,561.0,7,0.6081371903419495
17,1iQKKup2m3I,16,0,16,0.0,572.0,325.0,716.0,2,0.4116370975971222
18,1iQKKup2m3I,16,0,17,0.0,392.0,84.0,577.0,2,0.6740726828575134
19,1iQKKup2m3I,16,0,17,1.0,574.0,341.0,717.0,2,0.6127553582191467
20,1iQKKup2m3I,16,0,17,198.0,30.0,624.0,569.0,7,0.6000109314918518
21,1iQKKup2m3I,16,0,17,200.0,16.0,624.0,563.0,5,0.46628114581108093
22,1iQKKup2m3I,16,0,18,82.0,371.0,226.0,520.0,2,0.8414430618286133
23,1iQKKup2m3I,16,0,18,192.0,25.0,620.0,589.0,5,0.7094283699989319
24,1iQKKup2m3I,16,0,18,191.0,37.0,617.0,572.0,7,0.48721426725387573
25,1iQKKup2m3I,16,0,19,200.0,26.0,626.0,577.0,7,0.6197954416275024
26,1iQKKup2m3I,16,1,1,204.0,108.0,539.0,532.0,7,0.8441110253334045
27,1iQKKup2m3I,16,1,2,204.0,109.0,532.0,533.0,7,0.8373571038246155
28,1iQKKup2m3I,16,1,3,6.0,73.0,475.0,657.0,7,0.4983101189136505
29,1iQKKup2m3I,16,1,4,4.0,100.0,527.0,696.0,7,0.565983772277832
30,1iQKKup2m3I,16,1,5,1.0,79.0,510.0,720.0,7,0.6331072449684143
31,1iQKKup2m3I,16,1,5,0.0,85.0,523.0,720.0,5,0.44725683331489563
32,1iQKKup2m3I,16,1,6,0.0,56.0,541.0,709.0,7,0.6285076141357422
33,1iQKKup2m3I,16,1,7,0.0,35.0,563.0,701.0,7,0.6040661334991455
34,1iQKKup2m3I,16,1,8,16.0,80.0,636.0,714.0,7,0.5603798627853394
35,1iQKKup2m3I,16,1,9,24.0,106.0,568.0,720.0,7,0.6078354120254517
36,1iQKKup2m3I,16,1,11,1.0,471.0,664.0,707.0,2,0.6759409308433533
37,1iQKKup2m3I,16,1,12,0.0,353.0,776.0,709.0,2,0.4580307900905609
38,1iQKKup2m3I,16,1,13,316.0,152.0,1063.0,461.0,7,0.7637820243835449
39,1iQKKup2m3I,16,1,14,325.0,160.0,1074.0,467.0,7,0.735609233379364
40,1iQKKup2m3I,16,1,15,292.0,133.0,1056.0,447.0,7,0.8523960709571838
41,1iQKKup2m3I,16,1,16,454.0,109.0,1108.0,422.0,7,0.7765814065933228
42,1iQKKup2m3I,16,1,17,473.0,89.0,1208.0,408.0,7,0.823521077632904
43,1iQKKup2m3I,16,1,18,384.0,101.0,1028.0,408.0,7,0.8040542602539062
44,1iQKKup2m3I,16,1,19,307.0,57.0,884.0,354.0,7,0.8736541271209717
